site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
GA_bot708,123.358,-28.088,1423.92738818,1241.8597101,182.06767808,22.9,0.14,0.27,5740.92793959134,6.1771737,1521.05326,0.3,40
GA_bot325,123.47404,-27.13717,2535.14436411,2028.3814187,506.76294541,24.7,0.13,0.22,5002.67234823839,5.68347275,1331.9033,0.3,40
GA_bot195,123.72707,-27.84545,1802.07245883,1433.2812234,368.79123543,23.4,0.12,0.29,6121.57954121692,6.27644335,1426.90838,0.3,40
GA_bot412,123.862,-28.729,1770.8851755,1484.1389932,286.7461823,22.3,0.11,0.27,3692.51148568648,5.4547175,1550.54747,0.3,40
GA_bot57,124.03198,-28.74566,1833.53996446,1527.4347041,306.10526036,22.5,0.15,0.39,6038.72694545622,5.32528926,1548.96363,0.3,40
GA_bot660,124.265,-27.445,940.62664856,797.93329967,142.69334889,24.7,0.13,0.28,5644.98376462504,5.53426256,1530.51544,0.3,40
GA854,124.41106,-27.21566,1288.82788108,1039.6499194,249.17796168,24.9,0.11,0.2,3551.98049425015,5.52771378,1510.25503,0.3,40
GA_bot570,124.621,-29.177,1481.56327954,1000.5698555,480.99342404,22.1,0.08,0.18,4550.20937273277,6.53133993,1277.52388,0.3,40
GA1011,124.75193,-30.13279,2018.06571491,1536.3372625,481.72845241,22.2,0.15,0.39,3402.90823722471,5.54987732,1526.55385,0.3,40
GA_bot333,125.38999,-28.34667,1498.27668343,1325.5361618,172.74052163,23,0.08,0.34,6065.78559649261,5.26330249,1527.70873,0.3,40
GA_bot115,125.39035,-28.34655,1454.79091257,1178.7339844,276.05692817,23,0.08,0.34,5888.45080945887,5.20413034,1556.74032,0.3,40
GA_bot328,125.76808,-28.77749,1630.66098663,1254.8572523,375.80373433,23,0.09,0.24,3726.17898208907,5.50462242,1434.70731,0.3,40
GA1018,133.688145,-30.480537,1136.15116329,1036.425187,99.72597629,23,0.11,0.18,2362.84726998036,5.91408894,1513.10796,0.3,40
S90,132.1347833,-30.81430556,4371.55032563211,3355.037075333,1016.51325029911,21.6791012134974,0.127905336394108,0.263785487935724,3961.371581,6.57699088001251,1457.18344187737,0.3,40
S129,120.7392,-25.05720278,4505.6283377409,2657.82011727186,1847.80822046904,25.7943588924653,0.086626427460472,0.22137391354975,3908.906615,5.16984371900559,1501.8761125803,0.3,32
